,Temperature,Temperature,Temperature,Temperature,Rainfall,Rainfall,Rainfall,Rainfall,Humidity,Humidity,Humidity,Humidity,Pressure,Pressure,Pressure,Pressure
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max
Date,,,,,,,,,,,,,,,,
2024-01-31,18.58,278.7,14.8,22.1,0.9600000000000001,14.4,0.0,3.2,55.46666666666667,832,43,70,1012.1666666666666,15182.5,1009.5,1014.9
2024-02-29,21.12,316.8,18.1,24.2,0.8066666666666666,12.1,0.0,3.5,50.4,756,38,61,1011.6,15174.0,1009.0,1014.1
2024-03-31,23.98,359.7,20.2,27.2,0.8133333333333334,12.200000000000001,0.0,3.1,47.666666666666664,715,35,61,1011.6533333333333,15174.8,1009.3,1013.9
2024-04-30,26.793333333333333,401.9,23.3,29.5,1.22,18.3,0.0,4.1,45.266666666666666,679,33,60,1011.3133333333334,15169.7,1008.8,1013.8
2024-05-31,28.626666666666665,429.4,25.1,31.5,1.7733333333333334,26.6,0.0,5.2,46.2,693,32,62,1009.7266666666667,15145.9,1007.2,1012.8
2024-06-30,30.466666666666665,457.0,26.9,33.5,2.2866666666666666,34.3,0.0,6.3,52.46666666666667,787,41,64,1008.8533333333332,15132.8,1006.3,1011.9
2024-07-31,31.046666666666667,465.7,27.2,34.2,2.7666666666666666,41.5,0.0,7.1,56.06666666666667,841,46,67,1007.7466666666667,15116.2,1005.2,1010.8
2024-08-31,30.69333333333333,460.4,26.9,33.8,2.506666666666667,37.6,0.0,6.7,55.06666666666667,826,45,66,1006.5466666666667,15098.2,1004.0,1009.6
2024-09-30,29.793333333333333,446.9,26.0,32.9,1.9933333333333332,29.9,0.0,5.8,52.46666666666667,787,42,64,1005.3466666666667,15080.2,1002.8,1008.4
2024-10-31,27.2,408.0,23.5,30.2,1.4,21.0,0.0,4.4,49.0,735,39,60,1004.1466666666668,15062.2,1001.6,1007.2
2024-11-30,23.933333333333334,359.0,20.4,26.9,1.18,17.7,0.0,3.9,51.6,774,42,62,1002.9466666666667,15044.2,1000.4,1006.0
2024-12-31,20.233333333333334,303.5,16.7,23.2,0.8866666666666667,13.3,0.0,3.2,53.06666666666667,796,44,63,1001.7466666666667,15026.2,999.2,1004.8
